#Avg |Bx| across y-z plane in magnetotail
#FORMAT:
YEAR    DAY    HOUR    MIN    x:-12.00    -11.00      -10.00       -9.00       -8.00       -7.00       -6.00       -5.00       -4.00       -3.00      
2018      238         3       35               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       40               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       45               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       50               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       55               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         4        0               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         4        5               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         4       10               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         4       15               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         4       20               11.           14.           17.           21.           27.           36.           52.           78.          121.          196.  
2018      238         4       25               11.           14.           17.           21.           27.           36.           52.           78.          121.          196.  
2018      238         4       30               11.           14.           17.           21.           27.           36.           52.           78.          121.          196.  
2018      238         4       35               11.           14.           17.           21.           27.           36.           52.           78.          121.          196.  
2018      238         4       40               11.           14.           17.           21.           27.           36.           52.           78.          122.          196.  
2018      238         4       45               11.           14.           17.           21.           27.           36.           52.           79.          122.          196.  
2018      238         4       50               11.           14.           17.           21.           27.           36.           52.           79.          122.          196.  
2018      238         4       55               11.           14.           17.           21.           27.           36.           52.           79.          122.          196.  
2018      238         5        0               11.           14.           17.           21.           27.           36.           52.           79.          122.          196.  
2018      238         5        5               11.           14.           17.           21.           27.           36.           52.           79.          122.          197.  
2018      238         5       10               11.           14.           17.           21.           27.           36.           53.           79.          122.          197.  
2018      238         5       15               11.           14.           17.           21.           27.           36.           53.           79.          122.          197.  
2018      238         5       20               12.           14.           17.           21.           27.           37.           53.           79.          122.          197.  
2018      238         5       25               11.           14.           17.           21.           27.           36.           53.           79.          122.          197.  
2018      238         5       30               11.           14.           17.           21.           27.           37.           53.           79.          122.          197.  
2018      238         5       35               12.           14.           17.           21.           27.           37.           53.           79.          122.          197.  
